IGKV3D-11;IGKV3-11
IGHV3-49
IGHV3-72
GATD3B;GATD3A
IGHV4-61;IGHV4-39;IGHV4-59;IGHV4-34;IGHV4-30-4;IGHV4-38-2
RBM47
UHRF1BP1L
SHTN1
TMEM72
ARHGAP10
ARHGEF37
ILVBL
PLEKHG3
SH3PXD2B
NBAS
SMCO3
FUOM
VWA8
SBNO1
GTPBP10
WDR91
MBLAC1
CLEC18A;CLEC18B;CLEC18C
TRAPPC13
CNOT1
PALM3
C5orf51
PRORSD1P
TCAF2
TUBAL3
SMCHD1
ARHGAP42
UNC119B
GLOD5
LIPT2
RGPD3;RGPD4
TTC36
RHPN2P1
NUDT19
UPK3BL1;UPK3BL2
RABGAP1L
WASH3P;WASH2P
RASA4B;RASA4
AKR1B15
NDUFC2-KCTD14;NDUFC2
CNK3/IPCEF1
DNASE2
AGPS
KIF2A
TK2
DDX39A
ACOT7
MYO1F
SNAP23
AIP
GTPBP1
LGALS9
STXBP3
MASP2
ARVCF
SMAP
RAB27B
AP3B1
LGALS8
NDUFS8
PSMD11
PSMD12
PSMD9
ATOX1
PGRMC1
SUPT5H
DFFA
HIP1
CLIC1
EIF3F
WWP2
PDHX
SLC28A1
SULT1C2
MATN2
QSOX1
SLC33A1
WASL
IPO5
EML1
DNM1L
RTCA
PIK3C2A
MANBA
PLOD2
EXOC5
PSMD14
BIN1
KPNA3
STK25
USP9Y
LAD1
FAAH
UPK2
CHL1
VWA5A
SDCBP
PITPNM1
NOP56
DDX3X
RNASET2
PIR
NFIB
PPP6C
CES2
MAN2B1
FBP2
ACACB
CLDN4
PLPP1
PLPP3
ARID1A
SDHD
C2CD2L
DPYSL4
COX7A2L
HSPB6
NDUFAB1
COPE
AP3D1
ENPP3
ABLIM1
GOSR2
TOR1A
ADAM10
ABCD4
TP53I11
APAF1
IMPA2
ACOT8
CDIPT
PDCD5
PRMT5
SLC9A3R1
HSD17B6
TPP1
GNB5
NRP1
TNPO2
MRAS
PSMA7
SCAMP3
PHYH
BCKDK
IFIT3
MGST3
IRF6
TAX1BP3
GIPC1
LIN7A
IKBKB
TIMM23
HAT1
CASK
MYL12B;MYL12A
HGS
RAB29
VPS26C
SLC27A2
GAK
HNRNPDL
XPO1
ATP2A1
SEC16A
KIF3B
PFAS
ANKRD28
ARHGEF11
CHUK
NPC1
DEGS1
SCAMP1
SCAMP2
ARPC1B
ARPC2
ARPC3
POLR1C
PLSCR1
PGRMC2
PFDN6
GNPAT
KMO
LAMA5
ZNF185
SLC22A2
CLIC2
ACOX3
RER1
SURF4
MAPK13
SPTLC1
SPTLC2
PMM2
TM9SF1
HMGB3
PPM1G
INPPL1
EIF3D
EIF3H
SLC16A4
HDAC3
BCAT2
IPO8
STX7
SLC16A3
ABCC3
ABCC4
P4HA2
YKT6
DDX3Y
CYP27B1
PDPK1
TAPBP
DHX15
RNMT
ASAP2
PLXNB1
SIPA1L1
CYB5B
PRPF4
PHGDH
NDUFS4
DYNC1LI2
PSMD3
RBFOX2
PAPSS1
ZW10
SPINT1
TREH
SART1
TGFB1I1
HSPA12A
ADCY6
MTSS1
EEF1E1
PRPF3
TPD52L2
EMC8
COCH
ERI3
FIBP
EIF4G3
PPIH
MGAM
HTRA2
AKR7A2
EPB41L2
WIPF1
ATP8B1
SGCE
CA12
AKAP10
DENR
XPOT
DNPH1
TIMM44
TRAPPC3
CHMP2A
NCK2
PLRG1
ZNF207
NDUFB5
GET3
ACTN4
GSTZ1
GATC
HTATSF1
PRKAB2
AP1G1
STX6
SGTA
LIAS
ENSA
SLC25A20
NARS1
KRT86
MYO1B
SSNA1
NUDT21
LANCL1
SCO2
SLC37A4
IDH3B
NRDC
CALU
AHCYL1
CD5L
XPNPEP2
PDE6D
PEX1
RAD21
AKR1B10
TIMM8A
KALRN
DHX16
ZNRD2
GMFG
PPP1R12B
BNIP3L
PLIN1
PRPSAP2
SMARCA5
SPAG9
AQR
OPA1
KIF1B
KDM1A
TBC1D4
PPL
GSDME
ACSL4
SNX3
NPHS1
OGA
SYNCRIP
RANBP6
NEMF
GMDS
EIF4E2
EXOC3
PDE8A
PLIN3
SLC16A7
PRMT3
KPNA6
UGDH
LPXN
CTNND1
ICMT
EIF1B
SNX2
HPGDS
DPM1
USO1
MRPS14
TOM1
H2BC12;H2BS1;H2BC5;H2BC4;H2BC18;H2BC9;H2BC15;H2BC14;H2BC13
PFKFB2
CCDC22
PQBP1
TIMM17B
PRAF2
DKC1
EIF5B
ZG16
DIAPH2
DNAJA2
BRD4
CUTA
SMPD2
PFDN1
PPP1R11
NBN
DTNB
ABCB7
SRGAP2
FAM20B
WDR1
LDB3
ROCK2
CLASP2
CPNE3
HIP1R
RNF40
ZC3H11A
CLUH
RAB11FIP3
TSC22D2
DNAJC13
PPP6R2
CNOT3
ANKRD17
DNAJB6
XYLB
COQ9
GGCT
NDUFS7
NDUFS2
CDH16
UGT2B11
ZPR1
USP12
NIPSNAP2
PDCD6
TBCA
ATP6V1G1
VPS4B
MPDU1
ENTPD5
MACROH2A1
SH3BGRL
FLNB
NCOR1
NDUFS6
PEX14
TRIM3
SLC43A1
CS
SPAG7
SEC22B
PRPF40A
TACC1
LRCH4
MTX2
PMPCB
MED24
PSIP1
ERLIN1
GPC4
NDUFS3
SRSF10
CLN5
ECI2
BANF1
SF3B1
CSDE1
DAB1
STX11
MTRF1
RPS6KA5
MYCBP2
GCAT
USP2
NPM3
ERAL1
CREG1
SNRNP200
TRMU
TIPRL
TOM1L1
PPM1B
ADAP1
NUP155
RP2
CRTAP
SLC25A12
PALM
ATP6AP2
CDC123
UGT2B17
BCAR3
EIF3G
EIF3J
PSMD10
UPK1B
AP1G2
ZMPSTE24
IDH1
GATB
SCO1
CYP7B1
ATRN
RBBP9
ALDH1L1
SULT1C4
DGAT1
DHRS3
ARL6IP5
DYSF
DCTN3
BBOX1
SMNDC1
ATP5PD
TSPAN9
FLOT1
TRIO
ATP5MG
MPDZ
GLRX3
KRT33A
KRT34
RSL1D1
WFS1
ANXA9
NEBL
SEC14L2
TM7SF2
SNCG
CIAO1
DDAH1
B3GAT3
